accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,price_category
2,1,1,1,1,1,"52,36","4,92",1,"0,00","2,77",0,0,1,0,Low
2,1,1,2,1,2,"52,30","4,97",2,"38,00","10,22",1,0,1,0,Low
2,1,1,1,2,2,"52,36","4,91",1,"3,00","2,09",0,0,1,0,Low
2,1,1,1,2,1,"52,37","4,91",2,"211,00","1,59",0,0,1,0,Low
2,1,1,1,1,1,"52,39","4,88",2,"12,00","1,77",0,1,0,0,Low
2,1,0,1,1,1,"52,34","4,92",5,"5,00","4,58",0,1,0,0,Low
2,1,1,1,1,1,"52,40","4,95",2,"5,00","4,16",1,0,1,0,Low
2,2,1,2,1,2,"52,35","4,83",2,"9,00","5,61",0,0,1,0,Low
2,1,1,2,1,2,"52,40","4,92",1,"3,00","2,29",0,0,1,0,Low
6,2,4,1,6,1,"52,37","4,93",2,"14,00","2,41",0,1,0,0,Highest
16,2,9,1,16,1,"52,35","5,01",2,"29,00","7,82",1,1,0,0,Highest
2,1,1,1,1,1,"52,36","4,93",3,"5,00","2,83",0,1,0,0,Low
2,1,2,1,2,1,"52,37","4,85",28,"1,00","3,38",0,1,0,0,Low
4,1,2,91,1,103,"52,37","4,94",2,"0,00","2,77",1,1,0,0,Highest
2,2,1,4,2,5,"52,36","4,85",2,"7,00","4,16",1,0,1,0,Low
2,1,1,1,1,1,"52,36","4,86",2,"2,00","3,63",0,0,1,0,Low
2,1,1,1,1,1,"52,36","4,90",4,"1,00","2,67",1,1,0,0,Low
2,1,1,1,1,1,"52,36","4,93",2,"8,00","2,86",0,1,0,0,Low
2,1,1,1,1,1,"52,38","4,85",2,"1,00","3,16",0,1,0,0,Low
2,1,1,1,1,1,"52,35","4,80",1,"187,00","7,46",0,0,1,0,Low
2,1,1,1,1,1,"52,40","4,93",2,"111,00","3,14",0,0,1,0,Low
2,1,1,2,1,2,"52,36","4,80",3,"0,00","6,98",0,1,0,0,Low
2,1,1,1,1,1,"52,37","4,87",3,"7,00","2,42",0,1,0,0,Low
1,1,1,1,1,1,"52,36","4,89",3,"82,00","2,76",0,1,0,0,Low
4,1,3,1,1,1,"52,38","4,88",4,"10,00","1,38",0,1,0,0,Highest
2,2,1,1,1,1,"52,38","4,89",2,"57,00","0,63",0,0,1,0,Low
4,1,2,1,1,1,"52,38","5,01",3,"9,00","7,77",0,1,0,0,Low
2,1,2,1,1,1,"52,36","4,93",1,"3,00","2,90",0,1,0,0,Low
2,1,1,1,1,1,"52,35","4,87",2,"16,00","4,12",0,0,1,0,Low
4,2,1,1,2,1,"52,35","4,80",3,"6,00","7,55",0,0,1,0,Low
1,0,1,2,1,2,"52,35","4,82",1,"16,00","6,69",0,0,0,1,Low
2,1,1,28,1,28,"52,37","4,87",2,"8,00","2,23",1,1,0,0,Low
2,1,1,1,1,1,"52,38","4,82",1,"3,00","5,40",0,0,1,0,Low
2,1,2,1,2,1,"52,37","4,92",7,"1,00","1,81",0,1,0,0,Low
2,1,1,1,1,1,"52,37","4,86",3,"30,00","2,48",0,0,1,0,Low
4,3,3,5,4,5,"52,35","4,91",7,"44,00","3,00",0,1,0,0,Mid-High
2,1,1,11,2,22,"52,37","4,89",7,"56,00","1,02",0,1,0,0,Low
4,1,3,5,4,5,"52,35","4,89",3,"5,00","2,77",0,1,0,0,Mid-High
